level1,level2,institution_name,paper_count
Applied,Corporate & Household Finance,National Bureau of Economic Research,9
Applied,Corporate & Household Finance,Stanford University,9
Applied,Corporate & Household Finance,"University of California, Berkeley",9
Applied,Corporate & Household Finance,Princeton University,8
Applied,Corporate & Household Finance,Center for Economic and Policy Research,7
Applied,Corporate & Household Finance,University of Chicago,7
Applied,Corporate & Household Finance,Centre for Economic Policy Research,6
Applied,Corporate & Household Finance,Harvard University,5
Applied,Corporate & Household Finance,Northwestern University,5
Applied,Corporate & Household Finance,Yale University,5
Applied,Corporate & Household Finance,Columbia University,4
Applied,Corporate & Household Finance,Massachusetts Institute of Technology,4
Applied,Corporate & Household Finance,University of Michigan,4
Applied,Corporate & Household Finance,Arizona State University,3
Applied,Corporate & Household Finance,Federal Reserve Bank of New York,3
Applied,Corporate & Household Finance,New York University,3
Applied,Corporate & Household Finance,Carnegie Mellon University,2
Applied,Corporate & Household Finance,Duke University,2
Applied,Corporate & Household Finance,Economic Policy Institute,2
Applied,Corporate & Household Finance,Federal Reserve Bank of Minneapolis,2
Applied,Corporate & Household Finance,Federal Reserve Board of Governors,2
Applied,Corporate & Household Finance,Institut d'Etudes Politiques de Paris,2
Applied,Corporate & Household Finance,Paris School of Economics,2
Applied,Corporate & Household Finance,University of Bonn,2
Applied,Corporate & Household Finance,University of British Columbia,2
Applied,Corporate & Household Finance,University of Minnesota,2
Applied,Corporate & Household Finance,University of Notre Dame,2
Applied,Corporate & Household Finance,Aix-Marseille Université,1
Applied,Corporate & Household Finance,Bank of Canada,1
Applied,Corporate & Household Finance,Bank of England,1
Applied,Corporate & Household Finance,Bocconi University,1
Applied,Corporate & Household Finance,Booth University College,1
Applied,Corporate & Household Finance,Ca' Foscari University of Venice,1
Applied,Corporate & Household Finance,California Institute of Technology,1
Applied,Corporate & Household Finance,Center for Responsible Travel,1
Applied,Corporate & Household Finance,Central European University,1
Applied,Corporate & Household Finance,Centre de Recherche en Économie et Statistique,1
Applied,Corporate & Household Finance,Centre for Research in Engineering Surface Technology,1
